Country,Tourist_Arrivals,Population
Singapore,10163882,5652000
Indonesia,3623277,266614000
China,3114257,1395261000
Thailand,1884306,69398000
Brunei,1216123,429000
India,735309,1375898000
South Korea,673065,51843000
Japan,424694,126398000
Philippines,421908,107041000
Vietnam,400346,94827000
Taiwan,382916,23597000
Australia,368271,25150000
United Kingdom,346485,66636000
United States of America,269928,329071000
Bangladesh,179000,176198000
France,141661,65236000
Germany,130221,83082000
Saudi Arabia,121444,34200000
Pakistan,105757,216823000
Cambodia,97097,16206000
Canada,87568,37346000
Netherlands,82110,17290000
Russia,79984,147043000
Italy,54710,60466000
New Zealand,50140,4915000
Iran,46559,82231000
Myanmar,46257,54189000
Spain,43616,46791000
Egypt,29831,99149000
Sweden,29592,10236000
Poland,27033,38447000
Laos,26955,7018000
Sri Lanka,26058,21789000
Switzerland,25659,8549000
Oman,23911,4649000
South Africa,22674,58198000
Denmark,22314,5814000
Belgium,22082,11459000
Iraq,21421,38328000
Nepal,20437,29419000
Ireland,19696,4902000
Kazakhstan,18138,18400000
Ukraine,16019,42169000
Turkey,15290,81821000
Norway,14585,5333000
Finland,13557,5523000
United Arab Emirates,11174,9654000
Kuwait,9632,4244000
